id,question,author,answer,date,answer_relevance
117,"On a point of order, Mr. Speaker. Question No. 93, which is in my name and is a similar Question to this, was transferred to the Lord Privy Seal. Could it not be answered as well? Is the right hon. Gentleman aware that President Reuther was convinced that the first step towards showing everybody's good faith was to have free elections in every sector of Berlin, and could that be kept in mind as a suggestion when the Powers meet? Is the right hon. Gentleman aware that President Reuther was convinced that the first step towards showing everybody's good faith was to have free elections in every sector of Berlin, and could that be kept in mind as a suggestion when the Powers meet?","Sir J. Lucas","Of course, that is the proposal we made as long ago as the very first discussion we had four or five years ago. It would be very agreeable if it could take place.",1961-08-01,0.20316166
234,"Would it be a fair statement of the Government's position to say that consultation with the Commonwealth has been equally close or equally distant in respect of Common Market negotiations and the Commonwealth Immigrants Bill, and vice versa?","Mr. M. Foot","No, Sir. In reference to these negotiations, I see that the Prime Minister of Australia, and now the Prime Minister of Canada, have recognised in public speeches that we have tried, over the long period that this matter has been under discussion, to keep the fullest consultation and information with our Commonwealth friends.",1961-11-16,0.2800667
351,"As public expenditure is a matter of very great concern to the House, and as the Chief Secretary is a member of the Cabinet and the Financial Secretary is not, should not hon. Members on both sides have the chance to ask Questions of the Chief Secretary who, otherwise, will not appear at Question Time at all?","Mr. Jay","I think that this will work itself out in the most convenient way if Questions are put to the Chancellor of the Exchequer. It just so happens that there has not been a Thursday recently on which the Treasury Questions have been reached.",1961-12-05,0.15021236
468,"Would the Prime Minister answer two questions arising out of the communiqué issued after the talks? Firstly, can he say whether the discussions about the possible resumption of nuclear tests were concerned with joint testing by the United States and the United Kingdom, or with testing by the United States alone? Secondly, can he say whether, in fact, a request was made by the United States Government for facilities on Christmas Island?","Mr. Gaitskell","I should not like to go further than the communiqué at the present time. At the earliest possible moment I will make a further statement.",1962-01-23,0.06474928
585,"Will the Prime Minister bear in mind that Mr. Khrushchev made it plain in his letter that he was not proposing another Summit Conference, but simply that the Heads of State would be associated with these vitally important negotiations? Is not this fundamentally very much the same idea as President Kennedy and the Prime Minister himself proposed in their letter to Mr. Khrushchev?","Mr. Gaitskell","There are, of course, similarities; but we do feel that, although a formal meeting of eighteen Prime Ministers—to make, no doubt, eighteen speeches, which would take quite a time—may be valuable, what is important in our proposal is the practical meeting of the three nuclear Powers, which have rather special responsibilities. Our problem is how to try to make a workable plan which will get the best of both, and we are considering our reply.",1962-02-13,0.17147449
702,"In retrospect, can the Prime Minister recall that not long ago this House passed the Overseas Service Act which made generous provision for a great many overseas civil servants? I think I am right in saying that that will cost this country about£160 millions over ten years. Therefore, a great deal has been done about which we may be proud.","Sir H. Oakshott","Yes, Sir. It would be a great mistake if it were to go outside this House that the Houses of Parliament have not been willing to accept very heavy responsibilities.",1962-03-01,0.16630189
819,"asked the Prime Minister whether, in view of public interest throughout Wales in a revision of the leasehold laws he will state the terms of his reply to the letter he has received from the Methodist Church in South Wales on the subject of leasehold reform.","Mr. G. Thomas","The letter to which the hon. Member refers was acknowledged on my behalf. I have noted the views expressed in it and passed them on to my right hon. Friend  the Minister of Housing and Local Government who has the matter under consideration.",1962-03-27,0.081659436
936,"asked the Prime Minister whether the speech of the Lord Privy Seal to the Ministerial Meeting of Western European Union on 10th April represents the policy of Her Majesty's Government.","Mr. H. Wilson","Yes, Sir.",1962-04-19,-0.002397313
1053,"I express my appreciation of the right hon. Gentleman's courtesy in answering my Question. I never thought that his refusal to answer was prompted by anything but a desire to serve the convenience of the House. Does he realise that very few people in this country, if any, wish to be stampeded into an unnecessary or perilous war, in the way that we were stampeded by our allies in the case of Korea? In the South East Asia Treaty Organisation is not it a prerequisite to action, first, that there should be a request for assistance by the country concerned, and, secondly, that there should be prior consultation among the parties to the Treaty? Is it not the case that the Americans have landed troops in a country, in purported pursuance of their duties or rights under the Treaty, when neither of these prerequisite conditions had in fact occurred?","Mr. Silverman","If the hon. Member is referring to the landing of troops in Thailand, that is an entirely different matter, and it is one about which I hope to be able to speak to the House in a few moments' time.",1962-05-17,NULL
1170,"asked the Prime Minister what agreement he reached with President de Gaulle on the subject of Great Britain's willingness to renounce Commonwealth preferences and acquiesce in the formation of a French nuclear striking force as part of the price for entering the Common Market.","Mr. Zilliacus","I would refer the hon. Members to the Answer which I gave to the hon. Member for Glasgow, Govan (Mr. Rankin) on 5th June.",1962-06-07,NULL
