id,question,author,answer,date,answer_relevance,Relevant,25,,
147,"Does the Prime Minister agree with his colleagues behind him that this is a laughing matter? Does he realise that his handling of this very serious Berlin problem has been marked by abject failure, and will he try to do something better?",Mr. Hughes,What I try to do is to answer the Questions that the hon. and learned Gentleman addresses to me.,24/10/1961,0.0949,0,,,
294,"When the right hon. Gentleman takes full responsibility for this shocking state of affairs, can he tell us whether, in this particular instance, he has not been able to find a convenient scapegoat on whom to shuffle his own responsibility?",Mr. M. Foot,"I have a little sympathy with the hon. Member for Ebbw Vale (Mr. M. Foot) on that point, because he is a kind of born scapegoat.",23/11/1961,0.0171,0,,,
441,"But will the Prime Minister answer the second part of my supplementary question? Will he, in particular, say whether Sir Roy Welensky has any right to threaten to prevent the transport of United Nations' bombs through the Federal Territory into  Katanga for what he publicly states are reasons of foreign policy?",Mr. Healey,"Whether he is right or not he would have no power to do so. With regard to the other part of the hon. Gentleman's supplementary question, the Federal Government have actually been most helpful in trying to prevent the flow of arms through their territory. This is a very long frontier, some 2,000 miles in all, and it is a fairly difficult task to be absolutely secure.",14/12/1961,0.3184,1,,,
588,"With a view to getting the best possible atmosphere for the Geneva Conference, will the Prime Minister consider using his influence with President Kennedy so as to remove completely any reference to tests from the present arrangements? Will he agree that this should be done, with a view to getting on with disarmament at Geneva? If this were done, it would be much better and the Prime Minister would have very large support in the country for that point of view, rather than confusing the two issues.",Mr. Manuel,We must remember that this is exactly what we did for three years.,13/02/1962,0.0006,1,,,
735,"I know all about that, but does not my right hon. Friend appreciate that in the years that the Conservative Party has been in power we have collected four ex-Chancellors, including my right hon. Friend, who, most unhappily, dismally failed in this task? Does not he appreciate that unless and until the Government as a whole and the Prime Minister in particular control and manage policy, expenditure will not be controlled but will continue to control them?",Mr. Hirst,"These difficulties have been discussed and the Chancellor of the Exchequer made a statement about them on 27th February. I am happy to think, however, that, in spite of the difficulties over thees years, we have had the support of my hon. Friend throughout.",08/03/1962,0.0808,1,,,
882,asked the Prime Minister if he will ensure that all British agricultural produce which proves surplus to United Kingdom requirements will be offered as a free gift to any international welfare organisation that can make use of it for famine relief.,Sir R. Glyn,It is natural that opinion in the House and in the country should be disturbed at food being thrown away when many millions of people are under-nourished. A temporary surplus of skim milk is expected this spring if the weather improves. I have considered with my right hon. Friends whether this surplus could be processed and made available to areas of need. To do this it would be necessary to install additional plant which I am told would cost upwards of £J million and it would produce dried milk to the value of only a few thousand pounds. The plant would lie idle for the rest of the year.,05/04/1962,0.0095,1,,,
1029,"In the matter of this type of test the argument is often adduced that military advantage will accrue to the allied nations. Does not the right hon. Gentleman agree that this House has never had a clear and logical explanation of this military advantage? Would it not be advisable that we should be informed, and that our minds should be illuminated on that aspect of the subject before the tests are proceeded with?",Mr. Shinwell,"The other day, when I believe the right hon. Gentleman was present, I tried to explain why so much importance was attached to this experiment, knowing its effect on the whole radar and radio-communication system, on which defence depends.",15/05/1962,0.0113,1,,,
1176,"Will the Prime Minister bear in mind that this report by a very  distinguished Committee criticises the very haphazard and inadequate way in which cultural research is financed in this country and points out the serious financial difficulties confronting a number of learned societies, concluding that the situation can be remedied only by some co-ordinating action by the Government? Will he give an assurance that something will be done?",Mr. Fletcher,"This report has been presented. The first thing to do, surely, is to discuss it with its authors.",07/06/1962,0.1734,1,,,
1323,Does not the Prime Minister realise that the official appointment for the first time in British consti tutional history of a Deputy Prime Minister represents a damaging admission on the Prime Minister's part of his own inadequacies?,Mr. Lipton,"This is not an appointment submitted to the Sovereign but is a statement of the organisation of Government. It follows a very high precedent, for it was exactly the arrangement made by my right hon. Friend the Member for Woodford (Sir W. Churchill) when Sir Anthony Eden was appointed Deputy Prime Minister.",19/07/1962,0.0101,1,,,
1470,asked the Prime Minister what further consultations he has had with President Kennedy in regard to the removal of the blockade on Cuba.,Mr. Rankin,"In his exchange of letters with Mr. Khrushchev, President Kennedy made it clear that the lifting of the blockade was conditional on the establishment of adequate arrangements through the United Nations to ensure removal of the offensive weapons already in Cuba and to guard against the introduction of other such weapons. Arrangements for United Nations observation and supervision have not yet been made.",15/11/1962,0.1721,1,,,
1617,"Does not the Prime Minister realise that the good repute of ex-Lord Chancellors, who normally do not sell themselves in the market place, is even mare gravely prejudiced when, as in the latest case, the pension is drawn for a period, then waived, but with an entitlement nevertheless to draw it again? Why cannot Plessey look after its own employees on their retirement?",Mr. Lipton,"The hon. Member has introduced this subject in a rather unnecessarily offensive way, referring to an old colleague of ours who is deeply respected in all parts of the  House. It seems to me not unreasonable that he should draw his pension when he is entitled to draw it and renounce it when he is earning from another source.",11/12/1962,0.0634,1,,,
1764,"Is the Prime Minister aware that were he to examine the present order of Questions he would notice that the combined top-of-the-list appearances of English Ministers with duties similar to those of the Secretary of State for Scotland total 13 against one appearance by the Secretary of State for Scotland? Does the right hon. Gentleman realise that this means that hon. Members who do not represent Scottish constituencies may ask 26 Oral Questions, whereas hon. Members who do represent Scottish constituencies are allowed to ask only two? Does not that savour of discourtesy to Scotland? Will not the Prime Minister see to it in future that hon. Members representing Scottish constituencies may have more opportunities to get to their feet to speak for Scotland?",Mr. Dempsey,"I have, of course, every sympathy with the hon. Gentleman. But the management of Questions  is not a matter for me personally. By discussion in the ordinary way we try to get what best suits the House as a whole. It is difficult to please everybody. But I think that the system we use is the best to protect the interests of the House as a whole.",05/02/1963,0.086,1,,,
1911,asked the Prime Minister whether the public speech of the Lord President of the Council in Glasgow on 16th February on the subject of relations between Great Britain and France represents the policy of Her Majesty's Government.,Mr. Lipton,"Yes, Sir.",26/02/1963,-0.0009,1,,,
2058,asked the Prime Minister if he will take steps to set up a Department of Disarmament with a senior Minister in charge of it.,Mr. G. M. Thomson,"No, Sir. Disarmament is closely linked with the fundamental responsibilities of the Foreign Secretary and the Minister of Defence.  My hon. Friend the Minister of State for Foreign Affairs already has special responsibility, under the Foreign Secretary, for disarmament and devotes a very large part of his time to it.",21/03/1963,0.0163,1,,,
2205,Is it not within the recollection of the Prime Minister that he took special measures to put rockets and V-bombers in a special state of readiness at the time? Does not the Government civil defence policy purport to evacuate 12 million people between the announcement of a state of crisis and the four-minute warning? Has that policy now been quietly dropped as being a complete bluff?,Mr. Zilliacus,"No, Sir.",25/04/1963,-0.0031,1,,,
2352,"asked the Prime Minister whether the Foreign Secretary's public speech at the Canadian Club in Ottawa on 21st May, on the subject of the retention of British nuclear weapons, represented the policy of Her Majesty's Government.",Mr. Zilliacus,I would refer the hon. Member to the reply which I gave to the hon. Member for South Ayrshire (Mr. Emrys Hughes) on 28th May.,30/05/1963,0.0968,1,,,
2499,"asked the Prime Minister (1) whether it is within the terms of reference of the co-ordinating committee on nuclear power, referred to in the Report of the Select Committee on Nationalised Industries, to consider the allocation of financial responsibility for research and development on reactors;",Mr. Albu,"I think it would be right for me to maintain the position of successive Governments that details of the work of Cabinet Committees are not normally disclosed. I can, however, assure the hon. Member that the Government will give the most careful consideration to the views expressed by the Select Committee.",11/07/1963,0.2045,1,,,
2646,"Could it in any way hinder progress towards more general disarmament if the Prime Minister were to take some opportunity, for instance, of mentioning the matters referred to in the last part of the Question, such as disengagement—an idea which the right hon. Gentleman once mentioned favourably but which I think he has not referred to for some considerable time? When he is discussing a test ban agreement with President de Gaulle, would the right hon. Gentleman consider drawing the President's attention to the relevant passages in the late Pope's Encyclical, Pacem in Terris?",Mr. Driberg,"All these are important and relevant matters, but, if I have learned anything from my experience in the last few years, it is to proceed by patient negotiation rather than by premature public statements before full consultation.",01/08/1963,0.1855,1,,,
2793,"Will my right hon. Friend accept the appreciation of many hon. Members, myself among them, of this new break-through? Will he convey to the Chancellor our appreciation of his co-operation with my right hon. Friend? Will he also accept my pleasure at the successful result of our assignations and my hope that he will go from strength to strength in the magnificent new break-through which he has so successfully started?",Dame Irene Ward,"The House knows how interested my hon. Friend has always been in these questions. What my colleagues and I were particularly anxious to do was to benefit not only the widow who was ableto go out to work, but the equally deserving widow who stayed behind to look after her children.",10/12/1963,0.0852,1,,,
2940,"asked the Prime Minister whether he is aware that a letter from the hon. Member for Cardiff, South-East, enquiring about the prospects of a double taxation agreement with Ghana in relation to Ghana pensioners, was passed by the Treasury to the Commonwealth Relations Office and later by the Commonwealth Relations Office to the Department of Technical Co-operation; and if he will arrange for better co-ordination in these matters to achieve clearer definition of departmental responsibilities.",Mr. Callaghan,I am sorry about the hon. Member's letter. I agree that it ought to have been passed direct to the Department of Technical Co operation.,21/01/1964,0.4304,1,,,
3087,asked the Prime Minister if he will make a statement on his discussions with Mr. Winston Field; and whether he has accepted his demand for independence for Southern Rhodesia without an agreed revision of the Constitution.,Mr. Stonehouse,"My talks with Mr. Field were confidential, and I have nothing to add to what my right hon. Friend the Commonwealth Secretary told the House on 30th January.",20/02/1964,0.0104,1,,,
3234,Will the Prime Minister tell us what plans he has to prevent any take-overs of private enterprise and increasing monopolisation?,Mr. G. Brown,The right hon. Gentleman asked me whether we would take over—will he repeat his question?,24/03/1964,0.2044,0,,,
3381,"While most earnestly hoping that the Republic of South Africa will finally abandon these political trials, may I ask my right hon. Friend whether he knows whether the United Nations have at any time given any indication of wishing to intervene in matters which are essentially within the jurisdiction of the Republic""—say—""of Ghana""?""",Mr. Longden,"No, Sir; I have no such knowledge.",23/04/1964,-0.0001,1,,,
3528,"In view of the appalling accident figures and the disturbances which have marred recent Bank Holidays, is it not increasing folly to continue this build-up of people and vehicles concentrating on a few week-  ends in the year? Since the Government are already considering the staggering of holidays and discussing this with the interests concerned, would it not be appropriate to discuss at the same time the replacement of Bank Holidays by some modern holiday?",Mrs. Butler,"There is quite a lot in what the hon. Lady says, but we had better have an experiment first. We propose an experiment with August Bank Holiday next year.",02/06/1964,0.1538,1,,,
3675,Can the Prime Minister say what liaison exists between  the Ministry of Labour's Manpower Research Unit and the Statistical Department of the Ministry of Education?,Mr. Merlyn Rees,The hon. Gentleman should put that question down to my right hon. Friend.,02/07/1964,0.0001,1,,,
3822,Has the Prime Minister seen the statement by Mr. Ian Smith yesterday that he wrote to the Secretary of State for Commonwealth Relations three weeks ago and has not received any reply to that communication? Is that the case?,Mr. Brockway,"The correspondence between Prime Ministers of the Commonwealth is always confidential. Very often a number of very complicated questions are raised in letters and it takes some time to give a considered reply. I have invited Mr. Smith to come here, and I hope that he will be able to accept my invitation.",30/07/1964,0.1736,,,,
3969,"Does the right hon. Gentleman the Secretary of State for the Colonies agree with the Prime Minister's endorsement of this Polaris base, and, if so, did he change his mind before or after entering the Cabinet?",Mr. Biggs-Davison,"My right hon. Friend always, I think, agrees with me. I should start to get worried if he ever agreed with the hon. Gentleman.",01/12/1964,0.0015,,,,
4116,"asked the Prime Minister whether, in view of the damage caused by knock-out and other practices to the reputation of Great Britain as an international art centre, he will advise the appointment of a Royal Commission to review the law relating to public auctions.",Mr. Abse,My right hon. Friend the President of the Board of Trade and the other Ministers concerned are considering whether practices at auction sales can be improved by voluntary regulation and also whether further legislation is necessary and practicable. There have recently been exploratory talks on both matters with the British Antique Dealers Association and the Chartered Institute of Auctioneers and Estate Agents. There is also the important question of the conduct of auctions of Government surplus stores. When these discussions are complete we shall  consider whether there is a case for an independent inquiry.,04/02/1965,0.1756,,,,
